product_code,price
special-cotton-shirt-for-men,
cotton-o-neck-mens-clothing-t-shirts,
running-sneaker,
heart-rate-monitor-gps-fitness-smartwatch,
men-shoes-tmasw,
men-shoes,
iphone-13-pro-black-color-512gb-storage,
sceptre-led-curved-2xhdmi-display-port-monitor,
premium-leather-matt-black-casual-boot,
